X,pre1,pre2,level,post
A|~H-~T|Z-~E,[-[|A[~H]][-[|[~T]Z][~E]]],- | A ~ H - | ~ T Z ~ E ,- | - A ~ | ~ ? ? H ? ~ Z E ? ? ? ? ? ? T ? ? ? ? ? ? ,A H ~ | T ~ Z | E ~ - - 
J^P-V,[-[^JP]V],- ^ J P V ,- ^ V J P ? ? ,J P ^ V - 
U^~C|Y-~R-I,[-[|[^U[~C]]Y][-[~R]I]],- | ^ U ~ C Y - ~ R I ,- | - ^ Y ~ I U ~ ? ? R ? ? ? ? ? C ? ? ? ? ? ? ? ? ,U C ~ ^ Y | R ~ I - - 
M^K^I,[^[^MK]I],^ ^ M K I ,^ ^ I M K ? ? ,M K ^ I ^ 
~D-~B-P-V^W,[-[~D][-[~B][-P[^VW]]]],- ~ D - ~ B - P ^ V W ,- ~ - D ? ~ - ? ? ? B ? P ^ ? ? ? ? ? ? ? ? V W ,D ~ B ~ P V W ^ - - - 
U-~C^~T-R,[-U[-[^[~C][~T]]R]],- U - ^ ~ C ~ T R ,- U - ? ? ^ R ? ? ~ ~ ? ? ? ? C ? T ? ? ? ,U C ~ T ~ ^ R - - 
~Y|~W|J,[|[|[~Y][~W]]J],| | ~ Y ~ W J ,| | J ~ ~ ? ? Y ? W ? ? ? ,Y ~ W ~ | J | 
Y|~G|~R^~A-~U,[-[|[|Y[~G]][^[~R][~A]]][~U]],- | | Y ~ G ^ ~ R ~ A ~ U ,- | ~ | ^ U ? Y ~ ~ ~ ? ? ? ? ? G ? R ? A ? ? ? ? ,Y G ~ | R ~ A ~ ^ | U ~ - 
H|B-T|J|D,[-[|HB][|[|TJ]D]],- | H B | | T J D ,- | | H B | D ? ? ? ? T J ? ? ,H B | T J | D | - 
~G-~E-O^F-~G,[-[~G][-[~E][-[^OF][~G]]]],- ~ G - ~ E - ^ O F ~ G ,- ~ - G ? ~ - ? ? ? E ? ^ ~ ? ? ? ? ? ? O F G ? ,G ~ E ~ O F ^ G ~ - - - 
~Q^~L-~I|C-~J,[-[^[~Q][~L]][-[|[~I]C][~J]]],- ^ ~ Q ~ L - | ~ I C ~ J ,- ^ - ~ ~ | ~ Q ? L ? ~ C J ? ? ? ? ? ? ? I ? ? ? ? ? ? ,Q ~ L ~ ^ I ~ C | J ~ - - 
V|F|U-O,[-[|[|VF]U]O],- | | V F U O ,- | O | U ? ? V F ? ? ? ? ,V F | U | O - 
~P-V-N|N|Q,[-[~P][-V[|[|NN]Q]]],- ~ P - V | | N N Q ,- ~ - P ? V | ? ? ? ? ? | Q ? ? ? ? ? N N ? ? ,P ~ V N N | Q | - - 
F|O-~O^J,[-[|FO][^[~O]J]],- | F O ^ ~ O J ,- | ^ F O ~ J ? ? ? ? O ? ? ? ,F O | O ~ J ^ - 
~U|~V|~Y^~H,[|[|[~U][~V]][^[~Y][~H]]],| | ~ U ~ V ^ ~ Y ~ H ,| | ^ ~ ~ ~ ~ U ? V ? Y ? H ? ,U ~ V ~ | Y ~ H ~ ^ | 
D^B|M-Z,[-[|[^DB]M]Z],- | ^ D B M Z ,- | Z ^ M ? ? D B ? ? ? ? ,D B ^ M | Z - 
~B|~D-~E|~K^B,[-[|[~B][~D]][|[~E][^[~K]B]]],- | ~ B ~ D | ~ E ^ ~ K B ,- | | ~ ~ ~ ^ B ? D ? E ? ~ B ? ? ? ? ? ? ? ? ? K ? ? ? ,B ~ D ~ | E ~ K ~ B ^ | - 
L^~K^~Y^~M-~V,[-[^[^[^L[~K]][~Y]][~M]][~V]],- ^ ^ ^ L ~ K ~ Y ~ M ~ V ,- ^ ~ ^ ~ V ? ^ ~ M ? ? ? ? L ~ Y ? ? ? ? ? ? ? ? ? K ? ? ? ? ? ? ? ? ? ? ,L K ~ ^ Y ~ ^ M ~ ^ V ~ - 
~A-L^U,[-[~A][^LU]],- ~ A ^ L U ,- ~ ^ A ? L U ,A ~ L U ^ - 
M|~S|L|~S,[|[|[|M[~S]]L][~S]],| | | M ~ S L ~ S ,| | ~ | L S ? M ~ ? ? ? ? ? ? ? S ? ? ? ? ? ? ,M S ~ | L | S ~ | 
~N^M-~Z|C,[-[^[~N]M][|[~Z]C]],- ^ ~ N M | ~ Z C ,- ^ | ~ M ~ C N ? ? ? Z ? ? ? ,N ~ M ^ Z ~ C | - 
Y|~O|I^~O^~G,[|[|Y[~O]][^[^I[~O]][~G]]],| | Y ~ O ^ ^ I ~ O ~ G ,| | ^ Y ~ ^ ~ ? ? O ? I ~ G ? ? ? ? ? ? ? ? O ? ? ? ? ,Y O ~ | I O ~ ^ G ~ ^ | 
~U-Y^~T,[-[~U][^Y[~T]]],- ~ U ^ Y ~ T ,- ~ ^ U ? Y ~ ? ? ? ? ? T ? ,U ~ Y T ~ ^ - 
~E^D-G^~A-~W,[-[^[~E]D][-[^G[~A]][~W]]],- ^ ~ E D - ^ G ~ A ~ W ,- ^ - ~ D ^ ~ E ? ? ? G ~ W ? ? ? ? ? ? ? ? A ? ? ? ? ,E ~ D ^ G A ~ ^ W ~ - - 
~Q^Z|C|~J-~Q,[-[|[|[^[~Q]Z]C][~J]][~Q]],- | | ^ ~ Q Z C ~ J ~ Q ,- | ~ | ~ Q ? ^ C J ? ? ? ? ~ Z ? ? ? ? ? ? ? ? Q ? ? ? ? ? ? ? ? ? ? ? ,Q ~ Z ^ C | J ~ | Q ~ - 
T^~L^W^~B,[^[^[^T[~L]]W][~B]],^ ^ ^ T ~ L W ~ B ,^ ^ ~ ^ W B ? T ~ ? ? ? ? ? ? ? L ? ? ? ? ? ? ,T L ~ ^ W ^ B ~ ^ 
~M|A|I^~W,[|[|[~M]A][^I[~W]]],| | ~ M A ^ I ~ W ,| | ^ ~ A I ~ M ? ? ? ? ? W ? ,M ~ A | I W ~ ^ | 
M^G-E,[-[^MG]E],- ^ M G E ,- ^ E M G ? ? ,M G ^ E - 
H|~F^~T,[|H[^[~F][~T]]],| H ^ ~ F ~ T ,| H ^ ? ? ~ ~ ? ? F ? T ? ,H F ~ T ~ ^ | 
Y|D|F-~O,[-[|[|YD]F][~O]],- | | Y D F ~ O ,- | ~ | F O ? Y D ? ? ? ? ? ,Y D | F | O ~ - 
B^~H^G,[^[^B[~H]]G],^ ^ B ~ H G ,^ ^ G B ~ ? ? ? ? H ? ? ? ,B H ~ ^ G ^ 
~Q|~W|O,[|[|[~Q][~W]]O],| | ~ Q ~ W O ,| | O ~ ~ ? ? Q ? W ? ? ? ,Q ~ W ~ | O | 
J|U-~Q-~L^A,[-[|JU][-[~Q][^[~L]A]]],- | J U - ~ Q ^ ~ L A ,- | - J U ~ ^ ? ? ? ? Q ? ~ A ? ? ? ? ? ? ? L ? ? ? ,J U | Q ~ L ~ A ^ - - 
M-~I|D-P-~V,[-M[-[|[~I]D][-P[~V]]]],- M - | ~ I D - P ~ V ,- M - ? ? | - ? ? ~ D P ~ ? ? I ? ? ? ? ? V ? ,M I ~ D | P V ~ - - - 
P^~K^~B,[^[^P[~K]][~B]],^ ^ P ~ K ~ B ,^ ^ ~ P ~ B ? ? ? K ? ? ? ? ,P K ~ ^ B ~ ^ 
N|B-N^~K,[-[|NB][^N[~K]]],- | N B ^ N ~ K ,- | ^ N B N ~ ? ? ? ? ? ? K ? ,N B | N K ~ ^ - 
T-N-~N|N-V,[-T[-N[-[|[~N]N]V]]],- T - N - | ~ N N V ,- T - ? ? N - ? ? ? ? | V ? ? ? ? ~ N ? ? ? ? ? ? N ? ? ? ? ? ,T N N ~ N | V - - - 
N^~G|~B-~X,[-[|[^N[~G]][~B]][~X]],- | ^ N ~ G ~ B ~ X ,- | ~ ^ ~ X ? N ~ B ? ? ? ? ? ? G ? ? ? ? ? ? ? ,N G ~ ^ B ~ | X ~ - 
~C-M-T,[-[~C][-MT]],- ~ C - M T ,- ~ - C ? M T ,C ~ M T - - 
~M|I|X-~R,[-[|[|[~M]I]X][~R]],- | | ~ M I X ~ R ,- | ~ | X R ? ~ I ? ? ? ? ? M ? ? ? ? ? ? ? ? ,M ~ I | X | R ~ - 
G|F^~Z|~K,[|[|G[^F[~Z]]][~K]],| | G ^ F ~ Z ~ K ,| | ~ G ^ K ? ? ? F ~ ? ? ? ? ? ? ? Z ? ? ? ? ,G F Z ~ ^ | K ~ | 
~E|~Y-L,[-[|[~E][~Y]]L],- | ~ E ~ Y L ,- | L ~ ~ ? ? E ? Y ? ? ? ,E ~ Y ~ | L - 
W^~P|O^~I-~U,[-[|[^W[~P]][^O[~I]]][~U]],- | ^ W ~ P ^ O ~ I ~ U ,- | ~ ^ ^ U ? W ~ O ~ ? ? ? ? ? P ? ? ? I ? ? ? ? ,W P ~ ^ O I ~ ^ | U ~ - 
C-L|S,[-C[|LS]],- C | L S ,- C | ? ? L S ,C L S | - 
A^A^~D-A,[-[^[^AA][~D]]A],- ^ ^ A A ~ D A ,- ^ A ^ ~ ? ? A A D ? ? ? ,A A ^ D ~ ^ A - 
~E|~E-~I|~Z^~W,[-[|[~E][~E]][|[~I][^[~Z][~W]]]],- | ~ E ~ E | ~ I ^ ~ Z ~ W ,- | | ~ ~ ~ ^ E ? E ? I ? ~ ~ ? ? ? ? ? ? ? ? ? Z ? W ? ,E ~ E ~ | I ~ Z ~ W ~ ^ | - 
F|~L-G|R,[-[|F[~L]][|GR]],- | F ~ L | G R ,- | | F ~ G R ? ? L ? ? ? ? ? ,F L ~ | G R | - 
~W^~N^~H|~F|T,[|[|[^[^[~W][~N]][~H]][~F]]T],| | ^ ^ ~ W ~ N ~ H ~ F T ,| | T ^ ~ ? ? ^ ~ F ? ? ? ~ ~ H ? ? ? ? ? ? W ? N ? ? ? ? ? ? ? ? ? ,W ~ N ~ ^ H ~ ^ F ~ | T | 
~J^M|~X-~C,[-[|[^[~J]M][~X]][~C]],- | ^ ~ J M ~ X ~ C ,- | ~ ^ ~ C ? ~ M X ? ? ? ? J ? ? ? ? ? ? ? ? ? ,J ~ M ^ X ~ | C ~ - 
~T|~Q|~H,[|[|[~T][~Q]][~H]],| | ~ T ~ Q ~ H ,| | ~ ~ ~ H ? T ? Q ? ? ? ? ,T ~ Q ~ | H ~ | 
M|M^~N,[|M[^M[~N]]],| M ^ M ~ N ,| M ^ ? ? M ~ ? ? ? ? N ? ,M M N ~ ^ | 
~H|C^A|M|U,[|[|[|[~H][^CA]]M]U],| | | ~ H ^ C A M U ,| | U | M ? ? ~ ^ ? ? ? ? H ? C A ? ? ? ? ,H ~ C A ^ | M | U | 
X^K^~R|~Y-F,[-[|[^[^XK][~R]][~Y]]F],- | ^ ^ X K ~ R ~ Y F ,- | F ^ ~ ? ? ^ ~ Y ? ? ? X K R ? ? ? ? ? ? ,X K ^ R ~ ^ Y ~ | F - 
E|~P-~R,[-[|E[~P]][~R]],- | E ~ P ~ R ,- | ~ E ~ R ? ? ? P ? ? ? ? ,E P ~ | R ~ - 
~K-M-~Z,[-[~K][-M[~Z]]],- ~ K - M ~ Z ,- ~ - K ? M ~ ? ? ? ? ? Z ? ,K ~ M Z ~ - - 
~G-~I|F,[-[~G][|[~I]F]],- ~ G | ~ I F ,- ~ | G ? ~ F ? ? ? I ? ? ? ,G ~ I ~ F | - 
Q|N^~R,[|Q[^N[~R]]],| Q ^ N ~ R ,| Q ^ ? ? N ~ ? ? ? ? R ? ,Q N R ~ ^ | 
~Q|~O|~W|W,[|[|[|[~Q][~O]][~W]]W],| | | ~ Q ~ O ~ W W ,| | W | ~ ? ? ~ ~ W ? ? ? Q ? O ? ? ? ? ? ? ,Q ~ O ~ | W ~ | W | 
~P-A^K^Q,[-[~P][^[^AK]Q]],- ~ P ^ ^ A K Q ,- ~ ^ P ? ^ Q ? ? ? A K ? ? ,P ~ A K ^ Q ^ - 
~Y^Z^H,[^[^[~Y]Z]H],^ ^ ~ Y Z H ,^ ^ H ~ Z ? ? Y ? ? ? ? ? ,Y ~ Z ^ H ^ 
V-~Q^Q^~U-Q,[-V[-[^[^[~Q]Q][~U]]Q]],- V - ^ ^ ~ Q Q ~ U Q ,- V - ? ? ^ Q ? ? ^ ~ ? ? ? ? ~ Q U ? ? ? ? ? Q ? ? ? ? ? ? ? ? ,V Q ~ Q ^ U ~ ^ Q - - 
~L-~U|K,[-[~L][|[~U]K]],- ~ L | ~ U K ,- ~ | L ? ~ K ? ? ? U ? ? ? ,L ~ U ~ K | - 
~V|E|R,[|[|[~V]E]R],| | ~ V E R ,| | R ~ E ? ? V ? ? ? ? ? ,V ~ E | R | 
~Q-O^P,[-[~Q][^OP]],- ~ Q ^ O P ,- ~ ^ Q ? O P ,Q ~ O P ^ - 
M-~T|M,[-M[|[~T]M]],- M | ~ T M ,- M | ? ? ~ M ? ? T ? ? ? ,M T ~ M | - 
Y|~E^A^~E,[|Y[^[^[~E]A][~E]]],| Y ^ ^ ~ E A ~ E ,| Y ^ ? ? ^ ~ ? ? ~ A E ? ? ? E ? ? ? ? ? ? ,Y E ~ A ^ E ~ ^ | 
~G^~H|~R^~T|~T,[|[|[^[~G][~H]][^[~R][~T]]][~T]],| | ^ ~ G ~ H ^ ~ R ~ T ~ T ,| | ~ ^ ^ T ? ~ ~ ~ ~ ? ? ? G ? H ? R ? T ? ? ? ? ,G ~ H ~ ^ R ~ T ~ ^ | T ~ | 
N|~E|~K,[|[|N[~E]][~K]],| | N ~ E ~ K ,| | ~ N ~ K ? ? ? E ? ? ? ? ,N E ~ | K ~ | 
~H|~R^U,[|[~H][^[~R]U]],| ~ H ^ ~ R U ,| ~ ^ H ? ~ U ? ? ? R ? ? ? ,H ~ R ~ U ^ | 
Z-~N|H|H,[-Z[|[|[~N]H]H]],- Z | | ~ N H H ,- Z | ? ? | H ? ? ~ H ? ? ? ? N ? ? ? ? ? ,Z N ~ H | H | - 
P^A^A^E,[^[^[^PA]A]E],^ ^ ^ P A A E ,^ ^ E ^ A ? ? P A ? ? ? ? ,P A ^ A ^ E ^ 
U|D|V-A|Z,[-[|[|UD]V][|AZ]],- | | U D V | A Z ,- | | | V A Z U D ? ? ? ? ? ? ,U D | V | A Z | - 
~W-~Q^U,[-[~W][^[~Q]U]],- ~ W ^ ~ Q U ,- ~ ^ W ? ~ U ? ? ? Q ? ? ? ,W ~ Q ~ U ^ - 
~G|N^~E^~T,[|[~G][^[^N[~E]][~T]]],| ~ G ^ ^ N ~ E ~ T ,| ~ ^ G ? ^ ~ ? ? ? N ~ T ? ? ? ? ? ? E ? ? ? ? ,G ~ N E ~ ^ T ~ ^ | 
O|G-~F-~I,[-[|OG][-[~F][~I]]],- | O G - ~ F ~ I ,- | - O G ~ ~ ? ? ? ? F ? I ? ,O G | F ~ I ~ - - 
V-K^~T-~C,[-V[-[^K[~T]][~C]]],- V - ^ K ~ T ~ C ,- V - ? ? ^ ~ ? ? K ~ C ? ? ? ? ? T ? ? ? ? ,V K T ~ ^ C ~ - - 
Z^~C-A|C,[-[^Z[~C]][|AC]],- ^ Z ~ C | A C ,- ^ | Z ~ A C ? ? C ? ? ? ? ? ,Z C ~ ^ A C | - 
Y-~X|~E,[-Y[|[~X][~E]]],- Y | ~ X ~ E ,- Y | ? ? ~ ~ ? ? X ? E ? ,Y X ~ E ~ | - 
U-M|R-X,[-U[-[|MR]X]],- U - | M R X ,- U - ? ? | X ? ? M R ? ? ,U M R | X - - 
~U^N|~W|~F|~V,[|[|[|[^[~U]N][~W]][~F]][~V]],| | | ^ ~ U N ~ W ~ F ~ V ,| | ~ | ~ V ? ^ ~ F ? ? ? ? ~ N W ? ? ? ? ? ? ? U ? ? ? ? ? ? ? ? ? ? ? ? ,U ~ N ^ W ~ | F ~ | V ~ | 
M|~M^~C,[|M[^[~M][~C]]],| M ^ ~ M ~ C ,| M ^ ? ? ~ ~ ? ? M ? C ? ,M M ~ C ~ ^ | 
V-~B|R,[-V[|[~B]R]],- V | ~ B R ,- V | ? ? ~ R ? ? B ? ? ? ,V B ~ R | - 
~I|D^~N,[|[~I][^D[~N]]],| ~ I ^ D ~ N ,| ~ ^ I ? D ~ ? ? ? ? ? N ? ,I ~ D N ~ ^ | 
~Y^L|K|~I|J,[|[|[|[^[~Y]L]K][~I]]J],| | | ^ ~ Y L K ~ I J ,| | J | ~ ? ? ^ K I ? ? ? ~ L ? ? ? ? ? ? ? Y ? ? ? ? ? ? ? ? ? ? ,Y ~ L ^ K | I ~ | J | 
H^X^U|~K,[|[^[^HX]U][~K]],| ^ ^ H X U ~ K ,| ^ ~ ^ U K ? H X ? ? ? ? ? ,H X ^ U ^ K ~ | 
~J-N-~O-P-C,[-[~J][-N[-[~O][-PC]]]],- ~ J - N - ~ O - P C ,- ~ - J ? N - ? ? ? ? ? ~ - ? ? ? ? ? O ? P C ,J ~ N O ~ P C - - - - 
~M-~G|~S^S^C,[-[~M][|[~G][^[^[~S]S]C]]],- ~ M | ~ G ^ ^ ~ S S C ,- ~ | M ? ~ ^ ? ? ? G ? ^ C ? ? ? ? ? ? ~ S ? ? ? ? ? ? ? ? S ? ? ? ? ? ,M ~ G ~ S ~ S ^ C ^ | - 
C-~S^E^~B,[-C[^[^[~S]E][~B]]],- C ^ ^ ~ S E ~ B ,- C ^ ? ? ^ ~ ? ? ~ E B ? ? ? S ? ? ? ? ? ? ,C S ~ E ^ B ~ ^ - 
O^~Y^~B,[^[^O[~Y]][~B]],^ ^ O ~ Y ~ B ,^ ^ ~ O ~ B ? ? ? Y ? ? ? ? ,O Y ~ ^ B ~ ^ 
~P^O|~T,[|[^[~P]O][~T]],| ^ ~ P O ~ T ,| ^ ~ ~ O T ? P ? ? ? ? ? ? ,P ~ O ^ T ~ | 
~Y|~B|B-U^J,[-[|[|[~Y][~B]]B][^UJ]],- | | ~ Y ~ B B ^ U J ,- | ^ | B U J ~ ~ ? ? ? ? ? ? Y ? B ? ? ? ? ? ? ? ,Y ~ B ~ | B | U J ^ - 
K|~Q^~M,[|K[^[~Q][~M]]],| K ^ ~ Q ~ M ,| K ^ ? ? ~ ~ ? ? Q ? M ? ,K Q ~ M ~ ^ | 
W|W-C-Y,[-[|WW][-CY]],- | W W - C Y ,- | - W W C Y ,W W | C Y - - 
~X^U|~B-M-~A,[-[|[^[~X]U][~B]][-M[~A]]],- | ^ ~ X U ~ B - M ~ A ,- | - ^ ~ M ~ ~ U B ? ? ? A ? X ? ? ? ? ? ? ? ? ? ? ? ,X ~ U ^ B ~ | M A ~ - - 
~Q-~V|~L,[-[~Q][|[~V][~L]]],- ~ Q | ~ V ~ L ,- ~ | Q ? ~ ~ ? ? ? V ? L ? ,Q ~ V ~ L ~ | - 
F-~N|~R^T|~O,[-F[|[|[~N][^[~R]T]][~O]]],- F | | ~ N ^ ~ R T ~ O ,- F | ? ? | ~ ? ? ~ ^ O ? ? ? N ? ~ T ? ? ? ? ? ? ? ? R ? ? ? ? ? ? ,F N ~ R ~ T ^ | O ~ | - 
H|~V^Y,[|H[^[~V]Y]],| H ^ ~ V Y ,| H ^ ? ? ~ Y ? ? V ? ? ? ,H V ~ Y ^ | 
B-G^H,[-B[^GH]],#NAME?,- B ^ ? ? G H ,B G H ^ - 
Y|L-D|S,[-[|YL][|DS]],- | Y L | D S ,- | | Y L D S ,Y L | D S | - 
X^~O^~J,[^[^X[~O]][~J]],^ ^ X ~ O ~ J ,^ ^ ~ X ~ J ? ? ? O ? ? ? ? ,X O ~ ^ J ~ ^ 
M-~G|~W|X,[-M[|[|[~G][~W]]X]],- M | | ~ G ~ W X ,- M | ? ? | X ? ? ~ ~ ? ? ? ? G ? W ? ? ? ,M G ~ W ~ | X | - 
~M|~C-H|~J,[-[|[~M][~C]][|H[~J]]],- | ~ M ~ C | H ~ J ,- | | ~ ~ H ~ M ? C ? ? ? J ? ,M ~ C ~ | H J ~ | - 
S|S^~R|N,[|[|S[^S[~R]]]N],| | S ^ S ~ R N ,| | N S ^ ? ? ? ? S ~ ? ? ? ? ? ? R ? ? ? ,S S R ~ ^ | N | 
~X|~G^~P|~T|~B,[|[|[|[~X][^[~G][~P]]][~T]][~B]],| | | ~ X ^ ~ G ~ P ~ T ~ B ,| | ~ | ~ B ? ~ ^ T ? ? ? ? X ? ~ ~ ? ? ? ? ? ? ? ? ? G ? P ? ? ? ? ? ? ? ,X ~ G ~ P ~ ^ | T ~ | B ~ | 
~P|~M|D|~U,[|[|[|[~P][~M]]D][~U]],| | | ~ P ~ M D ~ U ,| | ~ | D U ? ~ ~ ? ? ? ? ? P ? M ? ? ? ? ? ? ,P ~ M ~ | D | U ~ | 
~P|O-T,[-[|[~P]O]T],- | ~ P O T ,- | T ~ O ? ? P ? ? ? ? ? ,P ~ O | T - 
~G^Q|X-H,[-[|[^[~G]Q]X]H],- | ^ ~ G Q X H ,- | H ^ X ? ? ~ Q ? ? ? ? G ? ? ? ? ? ? ? ,G ~ Q ^ X | H - 
~W-~V|~C,[-[~W][|[~V][~C]]],- ~ W | ~ V ~ C ,- ~ | W ? ~ ~ ? ? ? V ? C ? ,W ~ V ~ C ~ | - 
J^~L^~F^~I,[^[^[^J[~L]][~F]][~I]],^ ^ ^ J ~ L ~ F ~ I ,^ ^ ~ ^ ~ I ? J ~ F ? ? ? ? ? ? L ? ? ? ? ? ? ? ,J L ~ ^ F ~ ^ I ~ ^ 
U-R-~R|~P-~C,[-U[-R[-[|[~R][~P]][~C]]]],- U - R - | ~ R ~ P ~ C ,- U - ? ? R - ? ? ? ? | ~ ? ? ? ? ~ ~ C ? ? ? ? ? R ? P ? ? ? ? ,U R R ~ P ~ | C ~ - - - 
L-~I|~K^~S,[-L[|[~I][^[~K][~S]]]],- L | ~ I ^ ~ K ~ S ,- L | ? ? ~ ^ ? ? I ? ~ ~ ? ? ? ? ? K ? S ? ,L I ~ K ~ S ~ ^ | - 
T^T-O|~D,[-[^TT][|O[~D]]],- ^ T T | O ~ D ,- ^ | T T O ~ ? ? ? ? ? ? D ? ,T T ^ O D ~ | - 
Y-~F-C^F,[-Y[-[~F][^CF]]],- Y - ~ F ^ C F ,- Y - ? ? ~ ^ ? ? F ? C F ,Y F ~ C F ^ - - 
P-V|~Z-~H,[-P[-[|V[~Z]][~H]]],- P - | V ~ Z ~ H ,- P - ? ? | ~ ? ? V ~ H ? ? ? ? ? Z ? ? ? ? ,P V Z ~ | H ~ - - 
B|~Y-V,[-[|B[~Y]]V],- | B ~ Y V ,- | V B ~ ? ? ? ? Y ? ? ? ,B Y ~ | V - 
M^A|J,[|[^MA]J],| ^ M A J ,| ^ J M A ? ? ,M A ^ J | 
U^S|~O^T^~X,[|[^US][^[^[~O]T][~X]]],| ^ U S ^ ^ ~ O T ~ X ,| ^ ^ U S ^ ~ ? ? ? ? ~ T X ? ? ? ? ? O ? ? ? ? ? ? ,U S ^ O ~ T ^ X ~ ^ | 
~Z^K|N,[|[^[~Z]K]N],| ^ ~ Z K N ,| ^ N ~ K ? ? Z ? ? ? ? ? ,Z ~ K ^ N | 
Y^U-O|~M-O,[-[^YU][-[|O[~M]]O]],- ^ Y U - | O ~ M O ,- ^ - Y U | O ? ? ? ? O ~ ? ? ? ? ? ? ? ? M ? ? ? ,Y U ^ O M ~ | O - - 
~Z-~Z|~V|~M|~V,[-[~Z][|[|[|[~Z][~V]][~M]][~V]]],- ~ Z | | | ~ Z ~ V ~ M ~ V ,- ~ | Z ? | ~ ? ? ? | ~ V ? ? ? ? ~ ~ M ? ? ? ? ? ? ? Z ? V ? ? ? ? ? ? ? ,Z ~ Z ~ V ~ | M ~ | V ~ | - 
Q|T|U|F^S,[|[|[|QT]U][^FS]],| | | Q T U ^ F S ,| | ^ | U F S Q T ? ? ? ? ? ? ,Q T | U | F S ^ | 
~P|~Q-~S-N-~M,[-[|[~P][~Q]][-[~S][-N[~M]]]],- | ~ P ~ Q - ~ S - N ~ M ,- | - ~ ~ ~ - P ? Q ? S ? N ~ ? ? ? ? ? ? ? ? ? ? ? M ? ,P ~ Q ~ | S ~ N M ~ - - - 
A|~S^I-Q-~Q,[-[|A[^[~S]I]][-Q[~Q]]],- | A ^ ~ S I - Q ~ Q ,- | - A ^ Q ~ ? ? ~ I ? ? Q ? ? ? S ? ? ? ? ? ? ? ? ,A S ~ I ^ | Q Q ~ - - 
T|~S|T-K,[-[|[|T[~S]]T]K],- | | T ~ S T K ,- | K | T ? ? T ~ ? ? ? ? ? ? S ? ? ? ? ? ,T S ~ | T | K - 
G^B-~B-~M,[-[^GB][-[~B][~M]]],- ^ G B - ~ B ~ M ,- ^ - G B ~ ~ ? ? ? ? B ? M ? ,G B ^ B ~ M ~ - - 
D-C|T,[-D[|CT]],- D | C T ,- D | ? ? C T ,D C T | - 
~P^~A^I^~E,[^[^[^[~P][~A]]I][~E]],^ ^ ^ ~ P ~ A I ~ E ,^ ^ ~ ^ I E ? ~ ~ ? ? ? ? ? P ? A ? ? ? ? ? ? ,P ~ A ~ ^ I ^ E ~ ^ 
H-V-S^T^~D,[-H[-V[^[^ST][~D]]]],- H - V ^ ^ S T ~ D ,- H - ? ? V ^ ? ? ? ? ^ ~ ? ? ? ? S T D ? ,H V S T ^ D ~ ^ - - 
~U^~M-~D,[-[^[~U][~M]][~D]],- ^ ~ U ~ M ~ D ,- ^ ~ ~ ~ D ? U ? M ? ? ? ? ,U ~ M ~ ^ D ~ - 
~V^~J^Y^~I^~Q,[^[^[^[^[~V][~J]]Y][~I]][~Q]],^ ^ ^ ^ ~ V ~ J Y ~ I ~ Q ,^ ^ ~ ^ ~ Q ? ^ Y I ? ? ? ? ~ ~ ? ? ? ? ? ? ? ? V ? J ? ? ? ? ? ? ? ? ? ,V ~ J ~ ^ Y ^ I ~ ^ Q ~ ^ 
I^M^~T|L,[|[^[^IM][~T]]L],| ^ ^ I M ~ T L ,| ^ L ^ ~ ? ? I M T ? ? ? ,I M ^ T ~ ^ L | 
~V-R-~G|S,[-[~V][-R[|[~G]S]]],- ~ V - R | ~ G S ,- ~ - V ? R | ? ? ? ? ? ~ S ? ? ? ? ? G ? ? ? ,V ~ R G ~ S | - - 
G-~K-~L^~H|~Q,[-G[-[~K][|[^[~L][~H]][~Q]]]],- G - ~ K | ^ ~ L ~ H ~ Q ,- G - ? ? ~ | ? ? K ? ^ ~ ? ? ? ? ? ~ ~ Q ? ? ? ? ? ? L ? H ? ? ? ? ,G K ~ L ~ H ~ ^ Q ~ | - - 
S-~L^~A|B|Z,[-S[|[|[^[~L][~A]]B]Z]],- S | | ^ ~ L ~ A B Z ,- S | ? ? | Z ? ? ^ B ? ? ? ? ~ ~ ? ? ? ? ? ? L ? A ? ? ? ? ? ,S L ~ A ~ ^ B | Z | - 
~R|~A-Q,[-[|[~R][~A]]Q],- | ~ R ~ A Q ,- | Q ~ ~ ? ? R ? A ? ? ? ,R ~ A ~ | Q - 
X|~Y|S^J^~Y,[|[|X[~Y]][^[^SJ][~Y]]],| | X ~ Y ^ ^ S J ~ Y ,| | ^ X ~ ^ ~ ? ? Y ? S J Y ? ,X Y ~ | S J ^ Y ~ ^ | 
~P^V^X,[^[^[~P]V]X],^ ^ ~ P V X ,^ ^ X ~ V ? ? P ? ? ? ? ? ,P ~ V ^ X ^ 
F^W|~C-~K,[-[|[^FW][~C]][~K]],- | ^ F W ~ C ~ K ,- | ~ ^ ~ K ? F W C ? ? ? ? ,F W ^ C ~ | K ~ - 
I-V-W|B,[-I[-V[|WB]]],- I - V | W B ,- I - ? ? V | ? ? ? ? W B ,I V W B | - - 
P^F-~E^P-~F,[-[^PF][-[^[~E]P][~F]]],- ^ P F - ^ ~ E P ~ F ,- ^ - P F ^ ~ ? ? ? ? ~ P F ? ? ? ? ? E ? ? ? ? ? ? ,P F ^ E ~ P ^ F ~ - - 
M|~V-N^~A,[-[|M[~V]][^N[~A]]],- | M ~ V ^ N ~ A ,- | ^ M ~ N ~ ? ? V ? ? ? A ? ,M V ~ | N A ~ ^ - 
